Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_per_voltage_measurement_box\Altium\Project Outputs for uz_per_voltage_measurement\Rev01\Pick Place\Pick_and_Place_uz_per_voltage_measurement_60V_Rev01.csv

========================================================================================================================
File Design Information:

Date:       28.08.25
Time:       16:19
Revision:   8e51f841f119c9bac1c7e6fb0ec1842e32022a80
Variant:    60V
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"C12","10TPE47MAZB","40.7171","40.7171","5.8110","5.8110","39.2171","5.8110","0","47 uF","TopLayer"
"U5A","ADA4940-1ARZ-R7","140.2590","140.2590","44.9893","44.9893","137.2590","46.8943","0","THS4521","TopLayer"
"U5B","ADA4940-1ARZ-R7","100.2590","100.2590","45.0893","45.0893","97.2590","46.9943","0","THS4521","TopLayer"
"U5C","ADA4940-1ARZ-R7","60.2089","60.2089","45.0575","45.0575","57.2089","46.9625","0","THS4521","TopLayer"
"U5D","ADA4940-1ARZ-R7","20.0590","20.0590","44.9893","44.9893","17.0590","46.8943","0","THS4521","TopLayer"
"C41D","C_0603","27.0000","27.0000","71.5000","71.5000","27.0000","72.2000","270","1 uF","TopLayer"
"C44D","C_0603","24.7000","24.7000","71.5000","71.5000","24.7000","72.2000","270","100 nF","TopLayer"
"C44C","C_0603","64.8499","64.8499","71.5683","71.5683","64.8499","72.2683","270","100 nF","TopLayer"
"C44B","C_0603","104.9000","104.9000","71.6000","71.6000","104.9000","72.3000","270","100 nF","TopLayer"
"C44A","C_0603","144.9000","144.9000","71.5000","71.5000","144.9000","72.2000","270","100 nF","TopLayer"
"C45D","C_0603","20.7000","20.7000","71.3000","71.3000","20.7000","72.0000","270","100 nF","TopLayer"
"C45C","C_0603","60.8499","60.8499","71.3683","71.3683","60.8499","72.0683","270","100 nF","TopLayer"
"C45B","C_0603","100.9000","100.9000","71.4000","71.4000","100.9000","72.1000","270","100 nF","TopLayer"
"C45A","C_0603","140.9000","140.9000","71.3000","71.3000","140.9000","72.0000","270","100 nF","TopLayer"
"C43D","C_0603","25.2000","25.2000","57.1000","57.1000","24.5000","57.1000","0","100 nF","TopLayer"
"C43C","C_0603","65.3499","65.3499","57.1683","57.1683","64.6499","57.1683","0","100 nF","TopLayer"
"C43B","C_0603","105.4000","105.4000","57.2000","57.2000","104.7000","57.2000","0","100 nF","TopLayer"
"C43A","C_0603","145.4000","145.4000","57.1000","57.1000","144.7000","57.1000","0","100 nF","TopLayer"
"C25","C_0603","10.9000","10.9000","1.6000","1.6000","11.6000","1.6000","180","100 nF","TopLayer"
"C23","C_0603","64.4020","64.4020","11.3639","11.3639","64.4020","10.6639","90","100 nF","TopLayer"
"C19","C_0603","63.4020","63.4020","18.1639","18.1639","62.7020","18.1639","0","100 nF","TopLayer"
"C13","C_0603","39.0020","39.0020","13.6639","13.6639","39.7020","13.6639","180","1 µF","TopLayer"
"C38C","C_0603","59.5594","59.5594","48.2006","48.2006","58.8594","48.2006","0","100 nF","TopLayer"
"C36C","C_0603","52.2480","52.2480","53.5669","53.5669","51.5480","53.5669","0","1 µF","TopLayer"
"C41C","C_0603","67.1499","67.1499","71.5683","71.5683","67.1499","72.2683","270","1 uF","TopLayer"
"C38D","C_0603","19.4095","19.4095","48.1324","48.1324","18.7095","48.1324","0","100 nF","TopLayer"
"C38B","C_0603","99.6095","99.6095","48.2323","48.2323","98.9095","48.2323","0","100 nF","TopLayer"
"C38A","C_0603","139.6000","139.6000","48.4000","48.4000","138.9000","48.4000","0","100 nF","TopLayer"
"C24","C_0603","65.7020","65.7020","11.3639","11.3639","65.7020","10.6639","90","1 µF","TopLayer"
"C1","C_0603","22.3520","22.3520","18.2639","18.2639","21.6520","18.2639","0","1 µF","TopLayer"
"C5","C_0603","23.6520","23.6520","12.5639","12.5639","24.3520","12.5639","180","100 nF","TopLayer"
"C36D","C_0603","12.0982","12.0982","53.4986","53.4986","11.3982","53.4986","0","1 µF","TopLayer"
"C36B","C_0603","92.2982","92.2982","53.5986","53.5986","91.5982","53.5986","0","1 µF","TopLayer"
"C36A","C_0603","132.2982","132.2982","53.4986","53.4986","131.5982","53.4986","0","1 µF","TopLayer"
"C41B","C_0603","107.2000","107.2000","71.6000","71.6000","107.2000","72.3000","270","1 uF","TopLayer"
"C41A","C_0603","147.2000","147.2000","71.5000","71.5000","147.2000","72.2000","270","1 uF","TopLayer"
"C22","C_0603","68.0020","68.0020","14.3639","14.3639","68.7020","14.3639","180","1 µF","TopLayer"
"C20","C_0603","63.4020","63.4020","16.8639","16.8639","62.7020","16.8639","0","1 µF","TopLayer"
"C47D","C_0603_TE","19.3000","19.3000","71.3000","71.3000","19.3000","72.0700","0","1 nF","TopLayer"
"C47C","C_0603_TE","59.4499","59.4499","71.3683","71.3683","59.4499","72.1383","0","1 nF","TopLayer"
"C47B","C_0603_TE","99.5000","99.5000","71.4000","71.4000","99.5000","72.1700","0","1 nF","TopLayer"
"C47A","C_0603_TE","139.5000","139.5000","71.3000","71.3000","139.5000","72.0700","0","1 nF","TopLayer"
"C40D","C_0603_TE","25.9000","25.9000","71.5000","71.5000","25.9000","72.2700","0","1 nF","TopLayer"
"C40C","C_0603_TE","66.0499","66.0499","71.5683","71.5683","66.0499","72.3383","0","1 nF","TopLayer"
"C40B","C_0603_TE","106.1000","106.1000","71.6000","71.6000","106.1000","72.3700","0","1 nF","TopLayer"
"C40A","C_0603_TE","146.1000","146.1000","71.5000","71.5000","146.1000","72.2700","0","1 nF","TopLayer"
"C49D","C_0603_TE","17.5000","17.5000","73.4000","73.4000","18.2700","73.4000","270","22pF","TopLayer"
"C49C","C_0603_TE","57.6499","57.6499","73.4683","73.4683","58.4199","73.4683","270","22pF","TopLayer"
"C49B","C_0603_TE","97.7000","97.7000","73.5000","73.5000","98.4700","73.5000","270","22pF","TopLayer"
"C49A","C_0603_TE","137.7000","137.7000","73.4000","73.4000","138.4700","73.4000","270","22pF","TopLayer"
"C42C","C_0603_TE","58.5499","58.5499","38.6683","38.6683","57.7799","38.6683","90","68 nF","TopLayer"
"C48C","C_0603_TE","61.8499","61.8499","38.6683","38.6683","61.0799","38.6683","90","68 nF","TopLayer"
"C50C","C_0603_TE","64.7519","64.7519","45.1245","45.1245","64.7519","44.3545","180","22pF","TopLayer"
"C39C","C_0603_TE","55.7479","55.7479","45.1245","45.1245","55.7479","44.3545","180","22pF","TopLayer"
"C48D","C_0603_TE","21.7000","21.7000","38.6000","38.6000","20.9300","38.6000","90","68 nF","TopLayer"
"C42D","C_0603_TE","18.4000","18.4000","38.6000","38.6000","17.6300","38.6000","90","68 nF","TopLayer"
"C42B","C_0603_TE","98.6000","98.6000","38.7000","38.7000","97.8300","38.7000","90","68 nF","TopLayer"
"C48B","C_0603_TE","101.9000","101.9000","38.7000","38.7000","101.1300","38.7000","90","68 nF","TopLayer"
"C48A","C_0603_TE","141.9000","141.9000","38.6000","38.6000","141.1300","38.6000","90","68 nF","TopLayer"
"C42A","C_0603_TE","138.6000","138.6000","38.6000","38.6000","137.8300","38.6000","90","68 nF","TopLayer"
"C50D","C_0603_TE","24.6020","24.6020","45.0563","45.0563","24.6020","44.2863","180","22pF","TopLayer"
"C39D","C_0603_TE","15.5980","15.5980","45.0563","45.0563","15.5980","44.2863","180","22pF","TopLayer"
"C50B","C_0603_TE","104.8020","104.8020","45.1563","45.1563","104.8020","44.3863","180","22pF","TopLayer"
"C50A","C_0603_TE","144.8020","144.8020","45.0563","45.0563","144.8020","44.2863","180","22pF","TopLayer"
"C39B","C_0603_TE","95.7980","95.7980","45.1563","45.1563","95.7980","44.3863","180","22pF","TopLayer"
"C39A","C_0603_TE","135.7980","135.7980","45.0563","45.0563","135.7980","44.2863","180","22pF","TopLayer"
"C46C","C_0805_TE","60.2170","60.2169","40.2793","40.2792","61.1169","40.2792","270","680 nF","TopLayer"
"C46D","C_0805_TE","20.0671","20.0670","40.2110","40.2109","20.9670","40.2109","270","680 nF","TopLayer"
"C46B","C_0805_TE","100.2671","100.2670","40.3110","40.3109","101.1670","40.3109","270","680 nF","TopLayer"
"C46A","C_0805_TE","140.2671","140.2670","40.2110","40.2109","141.1670","40.2109","270","680 nF","TopLayer"
"C37C","C_1206_TE","52.2918","52.2918","56.5465","56.5465","52.2918","57.9965","0","1 nF","TopLayer"
"C37D","C_1206_TE","12.1419","12.1419","56.4782","56.4782","12.1419","57.9282","0","1 nF","TopLayer"
"C37B","C_1206_TE","92.3419","92.3419","56.5782","56.5782","92.3419","58.0282","0","1 nF","TopLayer"
"C37A","C_1206_TE","132.3419","132.3419","56.4782","56.4782","132.3419","57.9282","0","1 nF","TopLayer"
"C30","C_1210_TE","12.8171","12.8171","7.7860","7.7860","11.3421","7.7860","0","2.2 µF","TopLayer"
"C29","C_1210_TE","8.5171","8.5171","13.3110","13.3110","9.9921","13.3110","180","2.2 µF","TopLayer"
"C28","C_1210_TE","8.5171","8.5171","10.6110","10.6110","9.9921","10.6110","180","2.2 µF","TopLayer"
"C27","C_1210_TE","12.8171","12.8171","10.6110","10.6110","11.3421","10.6110","0","2.2 µF","TopLayer"
"C26","C_1210_TE","12.8171","12.8171","13.3110","13.3110","11.3421","13.3110","0","2.2 µF","TopLayer"
"C35","C_1210_TE","17.8171","17.8171","23.9360","23.9360","16.3421","23.9360","0","2.2 µF","TopLayer"
"C34","C_1210_TE","8.5171","8.5171","16.0110","16.0110","9.9921","16.0110","180","2.2 µF","TopLayer"
"C33","C_1210_TE","17.8171","17.8171","26.6610","26.6610","16.3421","26.6610","0","2.2 µF","TopLayer"
"C32","C_1210_TE","12.8171","12.8171","16.0110","16.0110","11.3421","16.0110","0","2.2 µF","TopLayer"
"C31","C_1210_TE","8.5171","8.5171","7.7860","7.7860","9.9921","7.7860","180","2.2 µF","TopLayer"
"C2","C_1210_TE","24.2520","24.2520","10.4639","10.4639","22.7770","10.4639","0","2.2 µF","TopLayer"
"C3","C_1210_TE","24.2520","24.2520","4.8389","4.8389","22.7770","4.8389","0","2.2 µF","TopLayer"
"C4","C_1210_TE","24.2520","24.2520","7.6514","7.6514","22.7770","7.6514","0","2.2 µF","TopLayer"
"C9","C0805","31.0520","31.0520","15.1639","15.1639","31.0520","16.1639","270","10 µF","TopLayer"
"C8","C0805","32.9520","32.9520","15.1639","15.1639","32.9520","16.1639","270","10 µF","TopLayer"
"C17","C0805","54.6020","54.6020","10.7639","10.7639","54.6020","9.7639","90","10 µF","TopLayer"
"C18","C0805","50.4020","50.4020","10.7639","10.7639","50.4020","9.7639","90","10 µF","TopLayer"
"C10","C0805","39.0391","39.0391","10.1639","10.1639","39.0391","9.1639","90","10 µF","TopLayer"
"C21","C0805","62.7020","62.7020","19.9639","19.9639","61.7020","19.9639","0","10 µF","TopLayer"
"C11","C0805","37.0021","37.0021","10.1639","10.1639","37.0021","9.1639","90","10 µF","TopLayer"
"C14","C0805","48.3020","48.3020","10.7639","10.7639","48.3020","9.7639","90","10 µF","TopLayer"
"C7","C0805","29.0520","29.0520","15.1639","15.1639","29.0520","16.1639","270","10 µF","TopLayer"
"C6","C0805","27.1520","27.1520","15.1639","15.1639","27.1520","16.1639","270","10 µF","TopLayer"
